step,time,min,max,mean
0,0.00000000,0.000000,1.000000,0.032500
50,0.05000000,0.000000,0.995012,0.032338
100,0.10000000,0.000000,0.990049,0.032177
150,0.15000000,0.000000,0.985110,0.032016
200,0.20000000,0.000000,0.980196,0.031856
250,0.25000000,0.000000,0.975305,0.031698
300,0.30000000,0.000000,0.970439,0.031539
350,0.35000000,0.000000,0.965595,0.031382
400,0.40000000,0.000000,0.960775,0.031226
450,0.45000000,0.000000,0.955977,0.031070
500,0.50000000,0.000000,0.951203,0.030915
