step,time,min,max,mean
0,0.00000000,0.000682,1.000000,0.175404
50,0.05000000,0.000682,1.000000,0.175404
100,0.10000000,0.000682,1.000000,0.175404
150,0.15000000,0.000682,1.000000,0.175404
200,0.20000000,0.000682,1.000000,0.175404
250,0.25000000,0.000682,1.000000,0.175404
300,0.30000000,0.000682,1.000000,0.175404
350,0.35000000,0.000682,1.000000,0.175404
400,0.40000000,0.000682,1.000000,0.175404
450,0.45000000,0.000682,1.000000,0.175404
500,0.50000000,0.000682,1.000000,0.175404
